ID,Codigo_CPV,Descricao
603,33126000-9,Aparelhos para estomatologia
604,34144510-6,Veículos para resíduos
605,44500000-5,"Ferramentas, fechaduras, chaves, dobradiças, fixadores, correntes e molas"
606,80580000-3,Cursos de línguas
608,31610000-5,Equipamento eléctrico para motores e veículos
609,35112000-2,Equipamento de socorro e segurança
610,35111000-5,Equipamento de combate a incêndios
611,51500000-7,Serviços de instalação de máquinas e equipamento
612,85141200-1,Serviços prestados pelo pessoal de enfermagem
613,19640000-4,Sacos de polietileno para recolha de lixo e resíduos
614,45262350-9,Obras de betão não armado
615,33185000-0,Próteses auditivas
616,79540000-1,Serviços de interpretação
617,33192100-3,Camas para medicina
618,39518000-6,Roupa para uso hospitalar
619,55120000-7,Serviços de congressos e conferências em hotéis
620,66519600-7,Serviços actuariais
621,50324100-3,Serviços de manutenção de sistemas
622,39512100-5,Lençóis
623,18143000-3,Equipamento (vestuário) de protecção
624,45233162-2,Construção de via para ciclistas
625,33141320-9,Agulhas para fins médicos
626,71317210-8,Serviços de consultoria em matéria de saúde e segurança
627,45246410-0,Manutenção de protecções contra inundações
628,24100000-5,Gases
629,55321000-6,Serviços de preparação de refeições
630,55310000-6,Serviços de restauração tradicional
631,72252000-6,Serviços de arquivo informático
632,39831200-8,Detergentes
633,42124200-6,Peças para bombas ou para elevadores de líquidos
634,63100000-0,Serviços de movimentação e armazenagem de carga
635,71223000-7,Serviços de arquitectura para trabalhos de ampliação de edifícios
636,55500000-5,Serviços de cantinas e de fornecimento de refeições (catering)
637,45259100-8,Reparação e manutenção de estações de tratamento de águas residuais
638,39533000-7,Tapetes
639,51220000-0,Serviços de instalação de equipamento para controlo
640,73210000-7,Serviços de consultoria em matéria de investigação
641,33610000-9,Medicamentos para o tracto digestivo e o metabolismo
642,45236119-7,Obras de reparação de campos desportivos
644,92521000-9,Serviços dos museus
645,85321000-5,Serviços sociais administrativos
647,45441000-0,Colocação de vidros
648,42113161-0,Desumidificadores
649,39154100-7,Stands de exposição
650,45232151-5,Obras de renovação de condutas de água
651,33141126-9,Ligaduras
652,24951000-5,Massas e produtos lubrificantes
654,39120000-9,"Mesas, aparadores, secretárias e estantes"
655,45111000-8,"Demolição, preparação e limpeza dos locais para construção"
656,71410000-5,Serviços de planeamento urbano
657,79700000-1,Serviços de investigação e segurança
658,45111100-9,Demolição
659,79940000-5,Serviços das agências de cobrança
660,32410000-0,Rede local (LAN) | 51611100-9 - Serviços de instalação de hardware
661,63712000-3,Serviços auxiliares dos transportes rodoviários
662,45212350-4,Edifícios de especial interesse histórico ou arquitectónico
663,64227000-3,Serviços integrados de telecomunicações
664,79500000-9,Serviços auxiliares de escritório
665,45432112-2,Pavimentação
666,79941000-2,Serviços de cobrança de portagens
667,32321200-1,Equipamento audiovisual
668,64216110-7,Serviços de transferência electrónica de dados
670,45211360-0,Obras de urbanização
671,77314000-4,Serviços de manutenção de terrenos
672,48219300-9,Pacote de software para administração
673,50700000-2,Serviços de reparação e manutenção de equipamento em edifícios
674,31500000-1,Equipamento para iluminação e lâmpadas eléctricas
675,44111540-8,Vidro isolador
676,45232150-8,Obras relacionadas com condutas para abastecimento de água
677,50344000-8,Serviços de reparação e manutenção de equipamento óptico
678,45310000-3,Obras de instalação eléctrica
679,63515000-2,Serviços de viagens
680,15229000-9,"Produtos à base de peixe, congelados"
681,71311200-3,Serviços de consultoria em sistemas de transportes
682,80533100-0,Serviços de formação em matéria de informática
683,79212100-4,Serviços de auditoria financeira
684,33111730-7,Material para angioplastia
685,09111400-4,Lenha
686,55000000-0,"Serviços de hotelaria, restauração e comércio a retalho"
687,63513000-8,Serviços de informação turística
688,71314000-2,Serviços relacionados com a energia e afins
689,38430000-8,Aparelhos de detecção e análise
691,34928310-4,Vedações de segurança
692,37820000-2,Material para actividades artísticas
693,76431400-7,Serviços de abertura de furos
694,42419810-7,Peças para correias transportadoras
695,55250000-7,Serviços de aluguer de alojamentos mobilados de curta duração
696,64216000-3,Serviços de informação e mensagens electrónicas
697,33183100-7,Implantes ortopédicos
698,31682000-0,Material para electricidade
699,31211000-8,Quadros e caixas de fusíveis
700,71333000-1,Serviços de engenharia mecânica
701,30230000-0,Equipamento informático
702,85312300-2,Serviços de orientação e aconselhamento
703,09134000-7,Gasóleos
704,79341400-0,Serviços de campanhas publicitárias
705,24962000-5,Produtos químicos para tratamento da água
706,34113200-4,Veículos 4X4
707,22100000-1,"Livros, brochuras e folhetos impressos"
708,45262690-4,Restauração de edifícios degradados
709,50412000-6,Serviços de reparação e manutenção de aparelhos de ensaio
710,50610000-4,Serviços de reparação e manutenção de equipamento de segurança
711,72212218-0,Serviços de desenvolvimento de software para gestão de licenças
712,15113000-3,Carne de suíno
713,66511000-5,Serviços de seguros de vida | 66512000-2 - Serviços de seguros de acidentes e de saúde
714,85200000-1,Serviços de veterinária
715,15511400-7,Leite meio-gordo
716,45212000-6,"Obras de construção de edifícios relacionados com recreio, desporto, cultura, alojamento e restauração"
717,35120000-1,Sistemas e dispositivos de vigilância e segurança
718,50100000-6,"Serviços de reparação e manutenção de veículos e equipamento afim, e serviços conexos"
719,15200000-0,Preparações e conservas à base de peixe
720,64228000-0,Serviços de transmissão de programas televisivos e emissões de rádio
721,71222000-0,Serviços de arquitectura para exteriores
722,48300000-1,"Pacote de software para criação de documentos, desenho, imagens, gestão de tarefas e produtividade"
723,31712300-3,Circuitos impressos
724,79411000-8,Serviços gerais de consultoria em matéria de gestão geral
725,42900000-5,Maquinaria diversa genérica ou de finalidade específica
726,24550000-4,Poliésteres em formas primárias
727,72212900-8,Serviços de desenvolvimento de software e sistemas informáticos diversos
728,71620000-0,Serviços de análise
729,45432100-5,Obras de revestimento e cobertura de solos
730,75130000-6,Serviços de apoio às entidades governamentais
731,66114000-2,Serviços de leasing financeiro
732,85141000-9,Serviços prestados pelo pessoal médico
733,45215200-9,Construção de edifícios destinados a serviços sociais
734,38295000-9,Equipamento para topografia
735,45317200-4,Instalação eléctrica de transformadores
736,92331100-1,Serviços de feiras de atracções
737,85150000-5,Serviços de imagiologia médica
738,44423000-1,Artigos diversos
739,18512200-3,Medalhas
740,77231000-8,Serviços de gestão florestal
741,71330000-0,Serviços diversos de engenharia
742,42123400-1,Compressores de ar
743,15811300-9,Croissants
744,15511100-4,Leite pasteurizado | 15530000-2 - Manteiga | 15540000-5 - Queijo | 15542000-9 - Queijo fresco | 15551300-8 - Iogurte
745,44912000-6,Pedra de cantaria diversa
746,45233223-8,Renovação do pavimento das faixas de rodagem
747,51430000-5,Serviços de instalação de equipamento de laboratório
748,33760000-5,"Papel higiénico, lenços, toalhas de mão e guardanapos"
749,15550000-8,Lacticínios variados
750,33141210-5,Cateteres de balão
751,45112100-6,Escavação de valas
752,90722000-4,Recuperação ambiental
753,31160000-5,"Peças para motores, geradores e transformadores eléctricos"
754,33132000-4,Implante dentário
755,34952000-5,Plataformas hidráulicas elevadoras
756,50711000-2,Serviços de reparação e manutenção de equipamento eléctrico em edifícios
757,90511100-3,Serviços de recolha de resíduos sólidos urbanos
758,30199711-7,Sobrescritos com janela impressos
759,75200000-8,Prestação de serviços à comunidade
760,37450000-7,Equipamento para desportos de campo e de recinto
761,50232200-2,Serviços de manutenção de sinais de trânsito
762,45243600-8,Construção de muro-cais
763,34221000-2,Contentores móveis para usos especiais
764,39700000-9,Aparelhos de uso doméstico
765,45233221-4,Obras de sinalização horizontal de estradas
766,79416200-5,Serviços de consultoria em matéria de relações públicas
767,75231000-4,Serviços judiciários
768,45213142-0,Construção de mercado ao ar livre
769,75122000-7,Serviços administrativos na área da saúde
771,72310000-1,Serviços de processamento de dados
772,33696300-8,Reagentes químicos
773,39710000-2,Electrodomésticos
774,50312000-5,Manutenção e reparação de equipamento informático
775,22822200-0,Formulários comerciais não contínuos
776,90733700-1,Serviços de monitorização ou controlo da poluição de águas subterrâneas
777,48311000-1,Pacote de software para gestão de documentos
778,79413000-2,Serviços de consultoria em matéria de gestão de marketing
779,71318100-1,Serviços de iluminação natural e artificial
780,85121300-6,Serviços de cirurgia especializada
781,42956000-2,Peças para máquinas de depurar
782,85121100-4,Serviços de médicos de clínica geral
783,51300000-5,Serviços de instalação de equipamento para comunicação
784,72262000-9,Serviços de desenvolvimento de software
785,45454000-4,Obras de reestruturação
786,50111000-6,"Serviços de gestão, reparação e manutenção de frota de veículos"
787,92331210-5,Serviços de entretenimento de crianças
788,98330000-5,Serviços relacionados com o bem-estar físico
789,50114100-8,Serviços de reparação de camiões
790,34942000-2,Equipamento de sinalização
791,45262640-9,Obras relacionadas com o melhoramento ambiental | 45451200-5 - Colocação de painéis
792,39180000-7,Mobiliário de laboratório
793,22212000-9,Publicações periódicas
794,45212212-5,Construção de piscinas
795,33141200-2,Cateteres
796,33160000-9,Técnicas cirúrgicas
797,15111200-1,Carne de vitela
798,24311900-6,Cloro
799,45430000-0,Obras de revestimento de solos e paredes
800,33192230-3,Mesas de cirurgia
801,22410000-7,Selos
802,33192110-6,Camas ortopédicas | 33751000-9 - Fraldas descartáveis
803,85142300-9,Serviços de higiene
804,71631200-2,Serviços técnicos de inspecção automóvel
805,31532100-5,Lâmpadas tubulares (tubos)
806,85143000-3,Serviços de ambulâncias
807,48190000-6,Pacote de software para ensino
808,03311000-2,Peixes
809,85141211-1,Serviços de diálise ao domicílio
810,15894700-8,Produtos de mercearia fina
811,38434000-6,Analisadores
812,38434530-0,Analisadores de leite
813,79140000-7,Serviços de assessoria e informação jurídicas
815,71320000-7,Serviços de concepção técnica
816,19520000-7,Produtos de plástico | 31219000-4 - Caixas de protecção
817,44523300-5,Acessórios
818,15894400-5,Refeições leves
819,50531100-7,Serviços de reparação e manutenção de caldeiras
820,92312110-5,Serviços recreativos dos produtores teatrais
821,45236290-9,Reparação de zonas de recreio
822,51420000-2,Serviços de instalação de equipamento cirúrgico
823,45316212-4,Instalação de sinais de tráfego luminosos
824,16800000-3,Peças para máquinas para agricultura e silvicultura
825,32330000-5,Aparelhos para gravação e reprodução de som e imagem
826,44616200-3,Bidões de resíduos
827,64212000-5,Serviços de telefonia móvel
828,50510000-3,"Serviços de reparação e manutenção de bombas, válvulas, torneiras e contentores de metal"
829,85110000-3,Serviços hospitalares e afins
830,85121200-5,Serviços de medicina especializada
831,45232451-8,Obras de drenagem e pavimentação
832,33141120-7,"Clipes, suturas, ligaduras"
833,77341000-2,Poda de árvores
834,63110000-3,Serviços de movimentação de carga
835,50232000-0,Serviços de manutenção de dispositivos para iluminação pública e de semáforos
836,85320000-8,Serviços sociais
837,43300000-6,Maquinaria e equipamento de construção
838,31527200-8,Dispositivos de iluminação exterior
839,51511100-8,Serviços de instalação de equipamento de elevação
840,98393000-4,Serviços de fabrico por medida
841,42419540-3,Peças para tapetes rolantes
842,50870000-4,Serviços de reparação e manutenção de equipamento para áreas de recreação
843,42514310-8,Filtros de ar
845,45316100-6,Instalação de equipamento de iluminação exterior
846,80300000-7,Serviços de ensino superior
847,79900000-3,Serviços empresariais diversos e afins
848,18400000-3,Vestuário e acessórios especiais
849,92520000-2,Serviços dos museus e afins
850,55410000-7,Serviços de gestão de bares
851,33651500-3,Soros imunizantes e imunoglobulinas
852,03220000-9,"Produtos hortícolas, frutas e frutos de casca rija"
853,39227110-3,Agulhas de costura
854,45454100-5,Obras de restauro
855,72100000-6,Serviços de consultoria em matéria de hardware
856,33141100-1,"Pensos; clipes, suturas, ligaduras"
857,39717200-3,Aparelhos de ar condicionado
858,79961000-8,Serviços de fotografia
859,45232100-3,Obras anexas relacionadas com condutas para o transporte de água
860,42715000-1,Máquinas de costura
861,45421100-5,Instalação de portas e janelas e de componentes afins
862,31400000-0,"Acumuladores, pilhas e baterias eléctricas"
863,44110000-4,Materiais de construção
864,22121000-4,Publicações técnicas
865,39160000-1,Mobiliário escolar
866,64213000-2,Serviços de rede telefónica comercial de circuitos partilhados
867,48820000-2,Servidores
868,71610000-7,Serviços de ensaio e análise da composição e da pureza
869,72315200-8,Serviços de gestão de redes de dados
870,03143000-5,Produtos de explorações mistas
871,72514100-2,Serviços de gestão de instalações envolvendo a operação de computadores
872,79520000-5,Serviços de reprografia
873,43134100-2,Bombas submersíveis
874,48732000-8,Pacote de software para segurança de dados
875,42513100-6,Equipamento de congelação
876,50220000-3,Serviços de reparação e manutenção e serviços conexos relacionados com vias férreas e outro equipamento
877,79632000-3,Serviços de formação de pessoal
878,45262510-9,Obras em pedra
879,30199712-4,Sobrescritos sem janela impressos
880,85130000-9,Serviços de medicina dentária e serviços conexos
881,39151000-5,Mobiliário diverso
882,72212211-1,Serviços de desenvolvimento de software para interconectividade de plataformas
883,38900000-4,"Instrumentos diversos de avaliação ou ensaio | 48460000-0 - Pacote de software analítico, científico, matemático ou previsional"
884,72221000-0,Serviços de consultoria em matéria de análise de gestão
885,72512000-7,Serviços de gestão de documentos
886,80310000-0,Serviços de formação de jovens
887,79200000-6,"Serviços de contabilidade, de auditoria e fiscais"
888,30195000-2,Quadros
889,24312220-2,Hipoclorito de sódio
890,30191000-4,"Equipamento de escritório, excepto mobiliário"
891,15130000-8,Produtos à base de carne
892,34741400-7,Simuladores de voo
893,90919200-4,Serviços de limpeza de escritórios
894,98110000-7,"Serviços prestados por organizações empresariais, profissionais e especializadas"
895,50240000-9,Serviços de reparação e manutenção e serviços conexos relacionados com equipamento marinho e outro
896,39312000-2,Equipamento para preparação de alimentos
897,50116600-7,Serviços de reparação e manutenção de motores de arranque
898,34432000-4,Peças e acessórios para bicicletas
899,14000000-1,"Exploração mineira, metais de base e produtos afins"
900,24900000-3,Produtos químicos variados e de alta qualidade
901,43312400-7,Cilindros para pavimentar estradas
902,48811000-6,Sistema de correio electrónico
903,37000000-8,"Instrumentos musicais, artigos de desporto, jogos, brinquedos, material para artesanato e actividades artísticas e acessórios"
904,42131200-8,Válvulas definidas pela construção
905,33157000-5,Aparelhos para assistência respiratória e oxigenoterapia
906,79212500-8,Serviços de revisão de contas
907,71351914-3,Serviços arqueológicos
908,44800000-8,"Tintas, vernizes e mástiques"
909,77320000-9,Serviços de manutenção de campos de desporto
910,79822500-7,Serviços de concepção gráfica
911,32424000-1,Infra-estrutura de rede
912,31681410-0,Materiais eléctricos
913,60610000-7,Serviços de transporte por barcos de passagem (ferries)
914,37535200-9,Equipamento para áreas de recreação
915,44114100-3,Betão preparado
916,24954000-6,Carvão activado
917,35111300-8,Extintores
919,48200000-0,"Pacote de software para ligações em rede, Internet e intranet"
921,71313000-5,Serviços de consultoria em matéria de engenharia do ambiente
922,30211000-1,Computador mainframe
923,44160000-9,"Condutas de longa distância, condutas, canos, tubagem de revestimento, tubos e artigos afins"
924,39150000-8,Mobiliário e equipamento diverso
925,63712200-5,Serviços de exploração de auto-estradas
926,98133000-4,Serviços prestados por organizações associativas de carácter social
927,15112000-6,Carne de aves de capoeira | 15112120-3 - Perus | 15113000-3 - Carne de suíno
928,72411000-4,Fornecedores de serviços de Internet (ISP)
929,90513300-9,Serviços de incineração de resíduos
930,98311200-8,Serviços de exploração de lavandarias
931,45232423-3,Construção de estações de bombagem de águas residuais
932,92312130-1,Serviços recreativos das bandas de música
933,38435000-3,Aparelhos para detecção de fluidos
934,32235000-9,Sistema de vigilância de circuito fechado
935,85111200-2,Serviços hospitalares de medicina
936,24957000-7,Aditivos químicos
937,44423450-0,Placas sinaléticas
938,71351220-1,Serviços de consultoria em matéria de geologia
939,09135100-5,Combustível para aquecimento
940,60172000-4,Aluguer de autocarros e autocarros de turismo com condutor
941,45262512-3,Obras em pedra de cantaria
942,50532400-7,Serviços de reparação e manutenção de equipamento de distribuição eléctrica
943,79212300-6,Serviços de revisão legal de contas
944,92311000-4,Obras de arte
945,50113000-0,Serviços de reparação e manutenção de autocarros
946,71334000-8,Serviços de engenharia mecânica e eléctrica
947,44111400-5,Tintas e revestimentos de parede
948,42130000-9,"Torneiras, válvulas e dispositivos similares"
949,44221000-5,"Janelas, portas e artigos afins"
950,66516000-0,Serviços de seguros de responsabilidade civil
951,71351710-3,Serviços de prospecção geofísica
952,45112711-2,Trabalhos de paisagismo em parques
953,33141641-5,Sondas
955,39224000-8,"Vassouras, escovas e outros artigos de vários tipos"
956,77211300-5,Serviços de desbravamento
958,34422000-7,Bicicletas com motores auxiliares
959,79131000-1,Serviços de documentação
961,90713100-9,Serviços de consultoria em matéria de abastecimento de água e de águas residuais fora do âmbito da construção
962,37482000-0,Quadros electrónicos de informação desportiva
963,45431100-8,Colocação de ladrilhos em solos
964,71318000-0,Serviços de consultoria e assessoria em matéria de engenharia
965,44912100-7,Granito
966,45212314-0,Construção de monumento ou memorial histórico
967,73100000-3,Serviços de desenvolvimento experimental e de investigação
968,71351810-4,Serviços de topografia
969,32232000-8,Equipamento para videoconferências
970,50430000-8,Serviços de reparação e manutenção de equipamento de precisão
971,30234500-3,Meios de armazenamento de memória
972,30214000-2,Estações de trabalho
973,72212490-0,Serviços de desenvolvimento de software para adjudicação de contratos
974,80530000-8,Serviços de formação profissional
975,42912350-0,Equipamento para estações de filtragem
976,90712000-1,Planeamento ambiental
977,33651400-2,Antivíricos de uso sistémico
978,72800000-8,Serviços de auditoria informática e de ensaio informático
979,34111000-8,Automóveis familiares e de turismo
980,44100000-1,Materiais de construção e artigos afins
981,92111000-2,Serviços de produção cinematográfica e de vídeo
982,19212310-1,Artigos de lona
984,71354300-7,Serviços de levantamento cadastral
985,39313000-9,Equipamento para hotel
986,31731000-9,Material electrotécnico
987,30210000-4,Máquinas de processamento de dados (hardware)
989,15884000-8,Alimentos para bebés | 15890000-3 - Produtos alimentares diversos e produtos secos
990,42712000-0,Máquinas para fiação de matérias têxteis
991,34140000-0,Veículos a motor pesados
992,15861000-1,Café | 15863000-5 - Chá
993,15812100-4,Produtos de pastelaria
994,33198000-4,Artigos de papel para uso hospitalar | 33711900-6 - Sabão | 33763000-6 - Toalhas de mão de papel
996,79310000-0,Serviços de estudos de mercado
997,45246000-3,Obras de regularização dos cursos de água e de controlo das cheias
998,50330000-7,Serviços de manutenção de equipamento para telecomunicações
999,45259300-0,Reparação e manutenção de instalações de aquecimento
1000,45431000-7,Colocação de ladrilhos
1001,42961200-2,Sistema Scada ou equivalente
1002,90913000-0,Serviços de limpeza de tanques e reservatórios
1003,77231100-9,Serviços de gestão de recursos florestais
1004,33652200-7,Medicamentos usados na terapêutica endócrina
1005,70200000-3,Serviços de arrendamento ou locação de bens imóveis próprios
1006,31100000-7,"Motores, geradores e transformadores eléctricos"
1007,92332000-7,Serviços relacionados com praias
1010,45313100-5,Instalação de elevadores
1011,44621200-1,Caldeiras
1012,79932000-6,Serviços de arquitectura de interiores
1013,55512000-2,Serviços de gestão de cantinas
1014,31121000-0,Grupos geradores | 34928300-1 - Barreiras de segurança | 37535280-3 - Bancadas para áreas de recreação | 39113000-7 - Assentos e cadeiras diversos
1015,34144210-3,Veículos de combate a incêndios
1016,79550000-4,"Serviços de dactilografia, processamento de texto e edição assistida por computador"
1017,79420000-4,Serviços relacionados com a gestão
1018,71248000-8,Supervisão de projecto e documentação
1019,79342200-5,Serviços de promoção
1020,51112100-1,Serviços de instalação de equipamento para distribuição de electricidade
1021,79714100-3,Serviços de localização
1022,72415000-2,Serviços de hospedagem para operação de sítios da World Wide Web (WWW)
1023,85142100-7,Serviços de fisioterapia
1024,55100000-1,Serviços de hotelaria
1025,34946221-5,Agulhas
1026,92500000-6,"Serviços de bibliotecas, arquivos e museus e outros serviços culturais"
1027,09332000-5,Instalação solar
1028,30125120-8,Tóner para fotocopiadoras
1030,45259000-7,Reparação e manutenção de instalações
1031,03222000-3,Fruta e frutos de casca rija
1032,38436200-2,Evaporadores rotativos
1034,50600000-1,Serviços de reparação e manutenção de material de segurança e defesa
1035,48310000-4,Pacote de software para criação de documentos
1036,45233294-6,Instalação de sinalização rodoviária
1037,03121100-6,"Plantas vivas, bolbos, raízes, estacas e enxertos"
1038,72253100-4,Serviços de help-desk
1039,42122180-5,Bombas para combustível
1040,33124130-5,Material para diagnóstico
1041,43312000-3,Máquinas para pavimentar estradas
1042,45211340-4,Construção de blocos de apartamentos
1043,50212000-4,Serviços de reparação e manutenção de helicópteros
1044,44162000-3,Tubagens
1045,45233120-6,Construção de estradas
1046,63724000-0,Serviços de navegação
1047,15820000-2,"Tostas, bolachas e biscoitos; produtos de pastelaria e bolos conservados"
1048,15894000-1,Produtos alimentares transformados
1049,45212221-1,Construção de estruturas para campo de desportos
1050,90520000-8,"Serviços de resíduos radioactivos, tóxicos, médicos e perigosos"
1051,44113600-1,Betume e asfalto
1052,80570000-0,Serviços de formação para aperfeiçoamento pessoal
1053,48611000-4,Pacote de software para bases de dados
1054,92370000-5,Técnico de som
1055,15710000-8,Preparações utilizadas na alimentação de animais de criação e de outros animais
1056,33194220-4,Material para transfusão de sangue
1057,22456000-1,Licenças
1058,32270000-6,Aparelhos para transmissão digital
1059,33711600-3,Preparações e artigos capilares
1060,15890000-3,Produtos alimentares diversos e produtos secos
1061,33111710-1,Material para angiografia
1062,51510000-0,Serviços de instalação de máquinas e equipamento de uso geral
1063,71420000-8,Serviços de arquitectura paisagística
1064,45252124-3,Obras de dragagem e bombagem
1065,22110000-4,Livros impressos
1066,98341100-6,Serviços de gestão de alojamentos
1067,45262522-6,Obras de alvenaria
1068,31625100-4,Sistemas de detecção de incêndios
1069,39534000-4,Revestimentos de solo industriais
1070,48320000-7,Pacote de software para desenho e formação de imagens
1071,44163200-2,Acessórios para condutas
1073,39221180-2,Utensílios de cozinha
1074,33751000-9,Fraldas descartáveis
1075,39143112-4,Colchões
1076,77340000-5,Poda de árvores e arbustos
1077,14212300-3,Pedra britada e triturada
1078,33169400-6,Contentores cirúrgicos
1079,64100000-7,Serviços postais e de correio rápido
1080,43262000-7,Máquinas escavadoras
1081,44611600-2,Reservatórios
1082,50334400-9,Serviços de manutenção de sistemas de comunicações
1083,50112100-4,Serviços de reparação de automóveis
1084,50730000-1,Serviços de reparação e manutenção de grupos de refrigeração
1085,71251000-2,Serviços de arquitectura e inspecção de edifícios
1086,42968300-2,Sistema de distribuição de rolos de papel higiénico
1087,79418000-7,Serviços de consultoria em matéria de aquisições
1088,75124000-1,"Serviços administrativos nas áreas recreativa, cultural e religiosa"
1089,72212000-4,Serviços de programação de software de aplicação
1090,45240000-1,Construção relacionada com projectos de engenharia hidráulica
1091,31700000-3,"Material electrónico, electromecânico e electrotécnico"
1092,39141500-7,Exaustores
1093,19260000-6,Tela | 50514300-4 - Serviços de reparação de revestimentos protectores
1094,85121210-8,Serviços de ginecologia ou obstetrícia
1095,44211000-2,Edifícios pré-fabricados
1096,33193000-9,"Veículos para deficientes físicos, cadeiras de rodas e material afim"
1097,66516500-5,Serviços de seguro de responsabilidade profissional
1098,09300000-2,"Electricidade, aquecimento, energia solar e nuclear"
1099,48311100-2,Sistema de gestão de documentos
1100,45112000-5,Escavação e movimento de terras
1101,33191110-9,Autoclaves
1102,15112100-7,Carnes frescas de aves de capoeira
1103,45422000-1,Instalação de artigos de carpintaria
1104,98371111-5,Serviços de manutenção de cemitérios
1105,79720000-7,Serviços de pesquisa e investigação
1106,42510000-4,"Permutadores de calor, equipamento de ar condicionado e de refrigeração, aparelhos de filtragem"
1107,44113000-5,Materiais para construção de estradas
1108,15861100-2,Café torrado
1110,45232411-6,Construção de condutas para águas residuais
1111,33141125-2,Material de sutura cirúrgica
1112,79311000-7,Serviços relacionados com inquéritos
1113,15241400-3,Atum em lata
1114,39294100-0,Produtos de informação e de promoção
1115,79120000-1,Serviços de consultoria em matéria de direitos de autor e patentes
1116,92511000-6,Serviços das bibliotecas
1117,37800000-6,Material para actividades artísticas e artesanato
1118,51540000-9,Serviços de instalação de máquinas e equipamento para usos especiais
1119,15131700-2,Preparações à base de carne
1120,79996100-3,Gestão de documentos
1121,90711500-9,Monitorização ambiental fora do âmbito da construção
1122,92200000-3,Serviços de rádio e televisão
1123,65111000-4,Distribuição de água potável
1124,48730000-4,Pacote de software de segurança
1125,44200000-2,Produtos estruturais
1127,66170000-2,"Serviços de consultoria financeira, de processamento de transacções financeiras e das câmaras de compensação"
1128,71350000-6,Serviços técnicos e científicos relacionados com a engenharia
1129,39831300-9,Produtos para limpeza de pavimentos
1130,03117000-4,Plantas utilizadas em domínios específicos
1131,90400000-1,Serviços relacionados com águas residuais
1132,79211110-0,Serviços de gestão de folhas de pagamento
1133,34220000-5,"Reboques, semi-reboques e contentores móveis"
1134,92510000-9,Serviços de bibliotecas e arquivos
1135,90420000-7,Serviços de tratamento de águas residuais
1136,98350000-1,Serviços relacionados com instalações públicas
1137,31220000-4,Componentes de circuitos eléctricos
1138,79512000-6,Centro de chamadas
1140,79994000-8,Serviços de gestão de contratos
1141,71311100-2,Serviços auxiliares da engenharia civil
1142,34522000-2,Barcos de recreio e desporto
1143,15612500-6,Produtos de padaria
1144,34130000-7,Veículos a motor para o transporte de mercadorias
1145,90920000-2,Serviços de saneamento de instalações
1146,72230000-6,Serviços de desenvolvimento de software à medida
1147,03451300-9,Arbustos
1148,38421000-2,Equipamento para medição do caudal
1151,15982100-6,Concentrados de fruta
1152,37420000-8,Equipamento para ginásio
1153,31219000-4,Caixas de protecção
1154,71355000-1,Serviços de levantamento topográfico
1155,80340000-9,Serviços de ensino especial
1156,34951000-8,Plataformas de acesso
1157,09111300-3,Combustíveis fósseis
1158,72266000-7,Serviços de consultoria em matéria de software
1159,38423100-7,Controladores de pressão
1160,03451000-6,Plantas
1161,71332000-4,Serviços de engenharia geotécnica
1162,72263000-6,Serviços de implementação de software
1163,34120000-4,Veículos a motor para o transporte de dez ou mais pessoas
1164,41000000-9,Água captada e tratada
1165,71340000-3,Serviços integrados de engenharia
1166,42122450-9,Bombas de vácuo
1167,38290000-4,"Instrumentos e aparelhos de vigilância, hidrográficos, oceanográficos e hidrológicos"
1168,45432110-8,Obras de pavimentação
1169,39299000-4,Artigos de vidro
1170,50850000-8,Serviços de reparação e manutenção de mobiliário
1171,70310000-7,Serviços de venda ou arrendamento de edifícios
1172,50721000-5,Activação de instalações de aquecimento
1173,35200000-6,Equipamento para a polícia
1174,72212331-8,Serviços de desenvolvimento de software para gestão de projectos
1175,45400000-1,Obras de acabamento de edifícios
1176,39200000-4,Fornecimentos
1177,72317000-0,Serviços de armazenagem de dados
1178,48610000-7,Sistemas de bases de dados
1179,45316200-7,Instalação de equipamento de sinalização
1180,42611000-2,Máquinas-ferramentas para usos específicos
1181,48710000-8,Pacote de software para cópia de segurança (back-up) ou recuperação | 72261000-2 - Serviços de assistência em matéria de software
1182,33650000-1,"Anti-infecciosos gerais de uso sistémico, vacinas, antineoplásicos e imunomoduladores"
1183,32322000-6,Equipamento multimédia
1184,90712400-5,Serviços de planeamento estratégico para a gestão ou conservação dos recursos naturais
1185,37535280-3,Bancadas para áreas de recreação
1187,42122130-0,Bombas de água
1188,45243510-0,Construção de taludes
1189,15861200-3,Café descafeinado
1190,90511200-4,Serviços de recolha de resíduos domésticos
1191,92122000-2,Serviços de distribuição de filmes
1192,73112000-0,Serviços de investigação marinha
1193,38115100-5,Equipamento de vigilância por radar
1194,39141400-6,Cozinhas equipadas
1196,80531200-7,Serviços de formação técnica
1197,45234115-5,Obras de sinalização ferroviária
1198,30121100-4,Fotocopiadoras
1199,30232100-5,Impressoras e traçadores de gráficos
1201,50531300-9,Serviços de reparação e manutenção de compressores
1202,42500000-1,Equipamento de refrigeração e ventilação
1203,22450000-9,Material impresso do tipo fiduciário
1204,34136000-9,Furgonetas
1205,48219700-3,Pacote de software para servidor de comunicações
1206,45350000-5,Instalações mecânicas
1207,98396000-5,Serviços de afinação de instrumentos
1208,63516000-9,Serviços de gestão de viagens
1209,77231200-0,Serviços de controlo de pragas florestais
